chlor_rfu,wind_speed,do_raw,do_wtemp,par,datetime,do_sim
0.3,4.25,9.89,17.59,0.0,2022-06-03 00:00:00,9.89
0.27,3.58,9.9,17.59,0.0,2022-06-03 00:01:00,9.88911062427954
0.27,3.92,9.9,17.59,0.0,2022-06-03 00:02:00,9.888204429576364
0.26,3.92,9.92,17.66,0.0,2022-06-03 00:03:00,9.88728095109424
0.26,3.92,9.92,17.66,0.0,2022-06-03 00:04:00,9.886358659066408
0.25,4.58,9.91,17.62,0.0,2022-06-03 00:05:00,9.88541286300327
0.25,3.58,9.91,17.62,0.0,2022-06-03 00:06:00,9.884521587574568
0.31,4.58,9.91,17.64,0.0,2022-06-03 00:07:00,9.883572550944656
0.31,3.75,9.91,17.64,0.0,2022-06-03 00:08:00,9.882669416035629
0.25,4.08,9.91,17.64,0.0,2022-06-03 00:09:00,9.881749762153097
0.25,4.25,9.91,17.64,0.0,2022-06-03 00:10:00,9.880822266434633
0.34,4.08,9.91,17.63,0.0,2022-06-03 00:11:00,9.879907755202465
0.34,4.08,9.91,17.63,0.0,2022-06-03 00:12:00,9.878994450286939
0.24,4.42,9.9,17.63,0.0,2022-06-03 00:13:00,9.878064600190584
0.24,3.75,9.9,17.63,0.0,2022-06-03 00:14:00,9.87717088669529
0.26,3.58,9.91,17.65,0.0,2022-06-03 00:15:00,9.876282137064136
0.26,3.42,9.91,17.65,0.0,2022-06-03 00:16:00,9.875402864156603
0.25,2.92,9.9,17.63,0.0,2022-06-03 00:17:00,9.874555140809244
0.25,3.58,9.9,17.63,0.0,2022-06-03 00:18:00,9.873674509484955
0.25,3.58,9.91,17.64,0.0,2022-06-03 00:19:00,9.872792465639513
0.25,3.58,9.91,17.64,0.0,2022-06-03 00:20:00,9.871911488246992
0.24,3.42,9.9,17.63,0.0,2022-06-03 00:21:00,9.871042155310926
0.24,3.08,9.9,17.63,0.0,2022-06-03 00:22:00,9.870190995828818
0.25,2.58,9.9,17.62,0.0,2022-06-03 00:23:00,9.86936792655729
0.25,2.92,9.9,17.62,0.0,2022-06-03 00:24:00,9.868528796261572
0.24,2.92,9.91,17.64,0.0,2022-06-03 00:25:00,9.867686203797529
0.24,3.08,9.91,17.64,0.0,2022-06-03 00:26:00,9.866836481384004
0.28,2.75,9.9,17.65,0.0,2022-06-03 00:27:00,9.866002084041904
0.28,1.58,9.9,17.65,0.0,2022-06-03 00:28:00,9.86522732651034
0.25,2.25,9.91,17.63,0.0,2022-06-03 00:29:00,9.864423363654904
0.25,2.08,9.91,17.63,0.0,2022-06-03 00:30:00,9.863628465063327
0.3,2.08,9.9,17.63,0.0,2022-06-03 00:31:00,9.862834264227489
0.3,2.25,9.9,17.63,0.0,2022-06-03 00:32:00,9.86203249174652
0.24,1.75,9.9,17.66,0.0,2022-06-03 00:33:00,9.861250742462714
0.24,1.92,9.9,17.66,0.0,2022-06-03 00:34:00,9.860461183294289
0.28,1.25,9.9,17.66,0.0,2022-06-03 00:35:00,9.859705435208783
